"date","GDP","GDPC1","USREC","g1","rg1","g4","rg4"
1989-01-01,5511.253,9107.314,0,0.0206952150649253,0.010165976737591,0.0863096575610856,0.0431523993453349
1989-04-01,5612.463,9176.827,0,0.0183642449366763,0.00763265656592083,0.0813919209808949,0.0374829287484397
1989-07-01,5695.365,9244.816,0,0.0147710550608544,0.00740876993758288,0.0780887534817953,0.0390811305292833
1989-10-01,5747.237,9263.033,0,0.00910775692163734,0.00197050974297408,0.0643999296973115,0.0274380325524661
1990-01-01,5872.701,9364.259,0,0.0218303160283793,0.0109279541592902,0.0655836340665181,0.028213038443607
1990-04-01,5960.028,9398.243,0,0.0148699891242545,0.00362911790457754,0.0619273570266745,0.0241277295518376
1990-07-01,6015.116,9404.494,1,0.00924290959706875,0.000665124321642008,0.0561423192367829,0.0172721663686979
1990-10-01,6004.733,9318.876,1,-0.00172615124961761,-0.00910394541162929,0.0448034420713814,0.00602858696498232
1991-01-01,6035.178,9275.276,1,0.00507016714981257,-0.00467867584030612,0.0276664860002238,-0.00950240697101612
1991-04-01,6126.862,9347.597,0,0.0151915983256827,0.00779718037501054,0.0279921503724478,-0.00538887960228318
1991-07-01,6205.937,9394.834,0,0.0129062805723397,0.00505338430828717,0.0317235777331641,-0.00102716850050621
1991-10-01,6264.54,9427.581,0,0.00944305428817671,0.0034856390224669,0.0432670361862884,0.0116650334224857
1992-01-01,6363.102,9540.444,0,0.0157333180089834,0.011971575741434,0.0543354313659017,0.028588691053506
1992-04-01,6470.763,9643.893,0,0.0169195779039835,0.0108432060394681,0.0561300385091095,0.0316975582066708
1992-07-01,6566.641,9739.185,0,0.0148171088942695,0.00988107188663245,0.0581224076235385,0.036653228785096
1992-10-01,6680.803,9840.753,0,0.017385144094217,0.0104287987136504,0.06644749654404,0.0438258764363839
1993-01-01,6729.459,9857.185,0,0.00728295685413927,0.00166979091945541,0.0575752203877919,0.0331998175346975
1993-04-01,6808.939,9914.565,0,0.0118107562584153,0.00582113453283029,0.052262152083147,0.0280666739044078
1993-07-01,6882.098,9961.873,0,0.0107445521247871,0.00477156587303651,0.0480393248237569,0.0228651576081571
1993-10-01,7013.738,10097.362,0,0.0191278880364687,0.0136007556008786,0.0498345782685106,0.0260761549446469
1994-01-01,7115.652,10195.338,0,0.0145306254667625,0.00970312840126075,0.0573884171075267,0.0343052301443059
1994-04-01,7246.931,10333.495,0,0.0184493283257805,0.0135509975245551,0.0643260278877515,0.0422539970235709
1994-07-01,7331.075,10393.898,0,0.0116109840151644,0.00584536016130088,0.0652383909674055,0.0433678485963434
1994-10-01,7455.288,10512.962,0,0.016943354146562,0.0114551826465861,0.0629550177095295,0.0411592651625248
1995-01-01,7522.289,10550.251,0,0.00898704382714577,0.00354695470220534,0.0571468362983463,0.0348113029700439
1995-04-01,7580.997,10581.723,0,0.00780453928318803,0.00298305699077761,0.0460975825490819,0.024021688692935
1995-07-01,7683.125,10671.738,0,0.0134715790020767,0.00850664868093731,0.0480216066538672,0.0267310685558007
1995-10-01,7772.586,10744.203,0,0.0116438298218493,0.00679036535567046,0.0425601264498434,0.0219957990906845
1996-01-01,7868.468,10824.674,0,0.0123359201171922,0.00748971329004289,0.0460204334079692,0.0260110399269173
1996-04-01,8032.84,11005.217,0,0.0208899623154091,0.0166788394735946,0.0596020549803673,0.0400212706380616
1996-07-01,8131.408,11103.935,0,0.0122706290676771,0.0089701093581338,0.0583464410640202,0.0404992139049891
1996-10-01,8259.771,11219.238,0,0.0157860729654689,0.0103839764912161,0.0626799111647012,0.0442131445208174
1997-01-01,8362.655,11291.665,0,0.0124560354034031,0.00645560776944176,0.0628059998464758,0.0431413454114185
1997-04-01,8518.825,11479.33,0,0.0186746912314331,0.016619781050889,0.0604997734300696,0.0430807497934842
1997-07-01,8662.823,11622.911,0,0.0169035048847688,0.0125077857331397,0.065353380373977,0.0467380257539332
1997-10-01,8765.907,11722.722,0,0.0118995851583255,0.00858743562606734,0.0612772436427109,0.044876844577145
1998-01-01,8866.48,11839.876,0,0.0114731995217381,0.00999375401037406,0.0602470148535361,0.0485500588265768
1998-04-01,8969.699,11949.492,0,0.0116414856854132,0.00925820506903841,0.0529267827429252,0.0409572684120068
1998-07-01,9121.097,12099.191,0,0.0168788272605369,0.0125276455266894,0.0529012309266852,0.0409776862267981
1998-10-01,9293.991,12294.737,0,0.0189553953871984,0.0161619070233705,0.06024293892235,0.0487954077559802
1999-01-01,9411.682,12410.778,0,0.0126631282513632,0.00943826614591203,0.0614902418998295,0.0482185793162022
1999-04-01,9526.21,12514.408,0,0.0121687069325116,0.00835000029812849,0.062043442037464,0.0472753151347354
1999-07-01,9686.626,12679.977,0,0.0168394356202521,0.0132302702612865,0.062002300819737,0.0480020523686253
1999-10-01,9900.169,12888.281,0,0.0220451372851591,0.0164277900504073,0.0652225723050517,0.0482762665033014
2000-01-01,10002.179,12935.252,0,0.0103038645097884,0.00364447361133724,0.0627408575852859,0.0422595585868992
2000-04-01,10247.72,13170.749,0,0.0245487508271938,0.0182058300835586,0.0757394598691401,0.052446827688533
2000-07-01,10318.165,13183.89,0,0.00687421201984462,0.000997741282594111,0.0651970046123387,0.0397408449557912
2000-10-01,10435.744,13262.25,0,0.0113953401598057,0.0059436175514207,0.0540975613648615,0.0290162047211726
2001-01-01,10470.231,13219.251,0,0.00330469969366876,-0.00324221003223424,0.0467950033687659,0.0219554284678798
2001-04-01,10599,13301.394,1,0.0122985825241109,0.00621389214865542,0.0342788444649151,0.0099193295688802
2001-07-01,10598.02,13248.142,1,-0.0000924615529775963,-0.0040034901605055,0.027122555221786,0.00487352367169325
2001-10-01,10660.465,13284.881,1,0.00589213834282387,0.00277314358496472,0.0215337785212055,0.00170642236422935
2002-01-01,10783.5,13394.91,0,0.0115412413998817,0.00828227215584332,0.0299199702470747,0.0132881204842845
2002-04-01,10887.46,13477.356,0,0.00964065470394537,0.00615502455783723,0.0272157750731201,0.0132288390224362
2002-07-01,10984.04,13531.741,0,0.00887075589715169,0.00403528703998024,0.0364237848201834,0.0214066998979932
2002-10-01,11061.433,13549.421,0,0.00704595030608068,0.00130655767058951,0.037612618211307,0.0199128618464857
2003-01-01,11174.129,13619.434,0,0.0101881917107851,0.00516723186917067,0.0362246951360876,0.0167618894042587
2003-04-01,11312.766,13741.107,0,0.0124069625471477,0.00893377801162609,0.0390638404182426,0.0195699364177959
2003-07-01,11566.669,13970.157,0,0.0224439363458953,0.0166689626971095,0.053043233637168,0.0323990830152601
2003-10-01,11772.234,14131.379,0,0.0177721866165605,0.0115404572761795,0.0642593956858935,0.0429507652024392
2004-01-01,11923.447,14212.34,0,0.0128448856860985,0.00572916486069697,0.0670582915232139,0.0435338208621592
2004-04-01,12112.815,14323.017,0,0.0158819844630511,0.0077873875800889,0.0707209006179392,0.0423481164945445
2004-07-01,12305.307,14457.832,0,0.0158915991039239,0.00941247224659514,0.0638591802013182,0.0349083406865078
2004-10-01,12527.214,14605.595,0,0.0180334387431371,0.0102202736897203,0.0641322624066085,0.033557659164049
2005-01-01,12767.286,14767.846,0,0.0191640375904814,0.0111088250769646,0.0707713968955455,0.0390861744089994
2005-04-01,12922.656,14839.707,0,0.0121693835322549,0.00486604478405339,0.0668581993533295,0.0360741036612608
2005-07-01,13142.642,14956.291,0,0.0170232806630468,0.00785621980272166,0.0680466566173439,0.0344767458910851
2005-10-01,13324.204,15041.232,0,0.0138147261410595,0.00567928238358095,0.0636206901231191,0.0298267205136113
2006-01-01,13599.16,15244.088,0,0.0206358293523576,0.0134866611990301,0.0651566824773879,0.03224857572323
2006-04-01,13753.424,15281.525,0,0.0113436418131723,0.00245583730558363,0.0642877129902708,0.0297726902559463
2006-07-01,13870.188,15304.517,0,0.00848981315489117,0.00150456188109382,0.0553576670505063,0.0232829115186379
2006-10-01,14039.56,15433.643,0,0.0122112259761726,0.00843711696357485,0.0536884604888967,0.0260890198356092
2007-01-01,14215.651,15478.956,0,0.0125424870864901,0.00293598860618882,0.0453330205689175,0.015407153251805
2007-04-01,14402.082,15577.779,0,0.0131144890937451,0.00638434530080678,0.0471633827329108,0.0193864159499788
2007-07-01,14564.117,15671.605,0,0.0112508038768278,0.0060230665745109,0.0500302519331388,0.023985598500103
2007-10-01,14715.058,15767.146,0,0.0103638964174775,0.00609644002640342,0.0481139010054448,0.0216088320819654
2008-01-01,14706.538,15702.906,1,-0.000578998737212233,-0.00407429473919996,0.0345314470649287,0.0144680300144273
2008-04-01,14865.701,15792.773,1,0.0108226014851356,0.00572295344568663,0.0321911095909604,0.0138013255933338
